Interview Id,Candidate Id,Interviewer Id,Profile,S.L.R.C,S.L.R.I,A.T.T,L.M.I,L.M.C,S.R,L.J.T.C,L.J.T.I,N.I.C,N.I.I,S.P.I,S.P.C,L.A.C,L.A.I,Q.A,P.E.I,P.E.C,COMPLIANCE Ratio,Interview duration,Interviewer Intro,Candidate into,Opp to ask,Status
588729496352,4047088380,266,Product Manager,0.66,0.34,85,116,95,44,6,170,18,35,22,70,15,6,3,Negative,Neutral,56,38,Yes,No,Yes,Consider
501556834147,8243518293,190,QA Manual,0.81,0.19,78,51,90,52,220,133,29,65,49,8,11,14,3,Neutral,Positive,84,60,Yes,Yes,No,Not Consider
223264410906,6095259069,208,HR,0.51,0.49,62,84,120,23,279,274,50,59,85,90,1,6,3,Positive,Negative,12,28,No,No,Yes,May Consider
336850751059,1563670569,257,Marketing,0.97,0.03,80,59,57,55,126,271,28,34,76,34,2,9,7,Neutral,,47,48,No,No,Yes,May Consider
14391305483,5695757582,247,QA Automation,0.54,0.46,95,61,109,43,78,25,63,21,63,10,9,15,5,Positive,Neutral,20,36,Yes,No,No,Consider
472973299805,1703833830,253,Developer,0.55,0.45,114,109,85,24,224,250,23,60,58,57,12,19,7,Negative,Negative,53,44,Yes,Yes,Yes,May Consider
506864849134,5711985085,214,Account Manager,0.65,0.35,35,107,105,40,273,88,18,13,77,25,1,18,2,Positive,Negative,79,59,Yes,Yes,No,Not Consider
316152250061,4911278202,258,Program Manager,0.5,0.5,55,96,94,47,220,315,53,10,85,22,1,2,7,Negative,Neutral,53,31,No,No,No,Not Consider
66481396065,3024770885,255,Account Manager,0.81,0.19,72,83,55,31,152,84,49,63,50,50,6,20,4,Negative,Neutral,32,24,No,Yes,Yes,May Consider
216937538831,9199291963,254,Product Manager,0.79,0.21,92,120,79,20,214,242,62,34,75,25,11,10,5,Neutral,Negative,23,35,No,No,Yes,Not Consider
9321155194,1539379533,254,Marketing,0.83,0.17,69,101,85,28,140,70,41,60,45,41,7,6,3,Neutral,Positive,49,32,No,Yes,Yes,May Consider
570371174996,972213332.9,265,Program Manager,0.73,0.27,115,110,46,39,5,383,6,58,86,34,8,15,6,Neutral,Positive,18,31,No,Yes,Yes,Consider
896650998401,7560251401,262,Product Manager,0.63,0.37,68,98,53,57,84,38,68,8,62,44,9,2,6,Neutral,Positive,75,41,Yes,No,Yes,May Consider
620339779624,3843947796,233,Product Manager,0.62,0.38,95,80,105,25,103,291,17,70,36,85,5,6,6,Neutral,Positive,82,20,No,Yes,Yes,Consider
444835262123,497257790.7,249,Sales,0.88,0.12,73,68,65,32,5,537,67,35,20,43,2,14,3,Neutral,Neutral,36,55,No,Yes,Yes,Consider
979821811498,3133643110,268,QA Automation,0.67,0.33,72,103,100,32,10,339,54,11,56,46,14,3,5,Neutral,Neutral,7,51,Yes,Yes,Yes,Consider
763568607287,7883377251,224,Marketing,0.52,0.48,53,95,73,20,48,231,35,24,87,88,5,9,2,Negative,Neutral,66,54,Yes,Yes,Yes,Consider
347083757307,2484419706,265,Data Scientist,0.51,0.49,70,96,56,35,247,55,19,37,65,36,4,19,3,Negative,Positive,51,15,No,Yes,No,Not Consider
766713480781,8018299775,203,Program Manager,0.81,0.19,26,91,78,50,175,439,68,9,83,56,2,7,7,Neutral,Positive,69,46,Yes,Yes,No,May Consider
932932606864,766327618.6,226,Developer,0.69,0.31,62,64,61,31,296,476,12,51,48,6,7,17,3,Neutral,Neutral,32,29,No,No,No,Not Consider
16945959867,4770000593,201,Product Manager,0.82,0.18,45,66,106,45,292,406,21,38,84,31,3,17,3,Negative,Neutral,86,26,Yes,No,Yes,Not Consider
205154474705,2160618014,256,Program Manager,0.91,0.09,53,113,88,28,281,546,51,51,40,9,8,7,6,Positive,Neutral,54,59,No,No,Yes,Not Consider
840352194155,262507047.4,233,Program Manager,0.81,0.19,65,96,103,67,113,116,46,34,86,26,8,12,2,Neutral,Neutral,95,31,No,No,Yes,May Consider
770643976449,127777849.4,253,Program Manager,0.8,0.2,21,89,108,58,196,170,10,50,77,83,8,16,4,Neutral,Positive,60,28,No,No,Yes,Consider
855273580200,2479835561,261,Marketing,0.8,0.2,99,109,117,40,11,298,37,36,27,47,3,2,3,Neutral,Neutral,35,17,No,Yes,No,Consider
448962871061,5166678913,208,Product Manager,0.91,0.09,47,77,99,46,95,270,43,45,46,28,13,11,7,Negative,Positive,93,60,Yes,Yes,Yes,Consider
629389113054,5881649940,267,Developer,0.99,0.01,118,100,54,58,253,374,64,62,45,35,12,15,6,Negative,Positive,37,38,Yes,No,No,Not Consider
816794253129,5987964708,224,HR,0.68,0.32,86,46,120,39,171,299,58,60,59,64,12,15,5,Negative,Neutral,53,29,No,No,No,May Consider
741695250528,5644983241,243,QA Automation,0.85,0.15,113,95,60,65,123,22,16,43,26,79,13,16,2,Positive,Positive,7,43,No,No,No,Consider
22735403135,6344001260,257,Sales,0.84,0.16,62,64,58,62,142,500,40,50,30,13,2,18,2,Neutral,Positive,23,60,Yes,No,No,May Consider
266266154648,6339136112,196,Account Manager,0.7,0.3,29,75,84,65,233,151,15,44,90,61,7,12,7,Neutral,Negative,57,59,No,Yes,No,May Consider
365984047520,3454201668,201,QA Automation,0.93,0.07,63,104,52,59,78,1,16,7,60,49,6,4,6,Negative,Positive,8,17,Yes,Yes,No,Consider
500147251602,6959513716,213,Data Scientist,0.62,0.38,118,82,88,61,24,360,21,42,54,42,11,17,7,Negative,Negative,50,31,No,No,No,Consider
708723952300,5193362701,268,Developer,0.51,0.49,83,92,44,62,226,446,61,66,51,8,13,12,6,Positive,Negative,82,34,Yes,Yes,Yes,Not Consider
469270964558,9073935975,253,Sales,0.87,0.13,115,99,44,24,51,148,8,36,22,24,4,1,5,Positive,Positive,93,57,No,No,No,Consider
36542463313,9208154853,212,Account Manager,0.87,0.13,81,88,61,62,47,167,8,26,62,16,1,13,4,Neutral,Neutral,38,15,No,No,No,Consider
407832402496,8186280524,246,Account Manager,0.94,0.06,80,116,59,25,120,395,42,45,79,39,7,6,7,Neutral,Neutral,95,15,No,Yes,No,May Consider
508269674293,8410668319,198,Sales,0.85,0.15,40,81,92,42,45,236,27,66,68,34,6,6,6,Negative,,60,55,Yes,Yes,No,Consider
515193758966,9642903943,236,QA Automation,0.7,0.3,101,87,111,60,55,23,58,54,45,27,2,10,6,Neutral,Negative,70,53,No,Yes,Yes,Consider
838601278841,166760874.3,214,Account Manager,0.55,0.45,116,50,48,40,1,452,68,58,21,9,12,7,5,Negative,Positive,100,57,No,No,Yes,Consider
50295130505,5874095230,194,Program Manager,0.71,0.29,109,92,95,27,104,95,49,52,41,50,3,2,2,Negative,Neutral,49,32,No,No,Yes,Consider
354262034215,5530959631,216,Developer,0.93,0.07,116,98,41,52,29,239,16,27,46,45,7,2,3,Neutral,Negative,18,52,Yes,No,Yes,Consider
380056899874,7384036402,263,Program Manager,0.52,0.48,52,64,52,62,253,66,23,19,79,29,2,8,2,Negative,Negative,99,32,No,Yes,Yes,Not Consider
155915854585,5440155555,233,QA Automation,0.58,0.42,29,92,59,39,12,152,67,30,84,51,14,13,4,Neutral,Neutral,58,44,Yes,No,No,Consider
311808601677,3617841226,256,Program Manager,0.77,0.23,21,60,84,47,244,386,10,15,31,19,2,7,4,Positive,Negative,87,51,Yes,Yes,Yes,Not Consider
430291974166,1507898956,259,Program Manager,0.85,0.15,55,98,119,30,289,17,62,46,61,44,3,7,5,Positive,Positive,89,24,Yes,No,No,Not Consider
719944794897,4113912490,206,Product Manager,0.67,0.33,30,75,113,41,69,487,59,6,72,27,6,14,5,Positive,Positive,77,43,No,Yes,Yes,Consider
594954678330,4383555367,210,Sales,0.87,0.13,109,44,48,38,80,128,36,39,25,72,5,1,3,Neutral,Negative,93,41,Yes,Yes,No,Consider
636480368762,4696062183,265,Program Manager,0.71,0.29,49,69,79,54,225,568,28,13,89,22,9,7,5,Positive,Negative,22,20,Yes,No,Yes,Not Consider
954806301872,5261011643,192,Account Manager,0.71,0.29,72,93,114,59,9,171,67,55,59,42,14,7,2,Negative,Negative,93,58,No,Yes,Yes,Consider
79781943911,6905761379,195,HR,0.73,0.27,87,57,70,26,150,542,45,8,51,8,15,8,4,Neutral,Negative,27,53,No,No,No,May Consider
315912086848,9526354329,253,HR,0.96,0.04,113,93,97,68,112,14,44,5,29,40,1,1,2,Negative,Neutral,11,60,Yes,Yes,Yes,Consider
614428449901,2485010291,199,Program Manager,0.51,0.49,37,103,56,44,279,294,9,22,38,64,11,16,5,Negative,Neutral,13,58,No,Yes,Yes,Not Consider
277827788882,2490556187,192,QA Automation,0.54,0.46,91,101,103,53,46,351,18,43,77,67,3,2,6,Positive,Negative,13,59,No,No,No,Consider
89977327774,4090313463,218,Account Manager,0.52,0.48,86,80,104,37,82,152,21,18,41,60,7,4,3,Positive,Neutral,34,35,No,No,Yes,Consider
27681252401,8210523319,201,Sales,0.83,0.17,81,64,95,20,218,502,47,46,83,35,12,6,5,Neutral,Neutral,86,53,No,Yes,No,May Consider
22574925231,1175096222,190,HR,0.57,0.43,55,100,78,54,10,410,10,45,32,66,11,16,5,Negative,Negative,37,54,No,No,No,Consider
533313586506,4389961466,244,Developer,0.91,0.09,80,70,54,32,25,382,47,41,71,68,1,6,2,Neutral,Neutral,55,51,No,No,Yes,Consider
439173879146,8279781972,252,Marketing,0.76,0.24,50,52,94,31,54,305,29,29,65,58,11,10,7,Positive,Neutral,26,22,No,No,Yes,Consider
302457962592,881741498.1,205,Marketing,0.61,0.39,61,119,79,34,264,595,34,23,51,26,6,19,2,Negative,Positive,99,57,No,Yes,Yes,Not Consider
681049372509,6005131603,202,Marketing,0.87,0.13,46,87,116,68,0,288,51,64,55,55,5,11,2,Positive,Negative,64,30,Yes,No,No,Consider
891982318948,1278357971,195,Marketing,0.53,0.47,110,117,109,61,232,139,43,35,55,30,11,10,3,Neutral,Neutral,86,54,No,Yes,No,May Consider
95911597913,1436040007,264,QA Manual,0.71,0.29,110,94,64,32,196,374,34,25,55,11,9,1,6,Neutral,Positive,72,26,Yes,No,No,Not Consider
245527877546,7150500440,258,Product Manager,0.79,0.21,115,86,73,36,250,598,12,50,72,68,9,2,5,Negative,Neutral,51,35,No,Yes,Yes,May Consider
873890114517,481712122.1,263,Program Manager,0.96,0.04,120,98,46,42,251,597,15,35,52,14,4,9,4,Negative,Neutral,79,18,No,No,No,Not Consider
667447998370,1630800044,241,Sales,0.59,0.41,89,93,62,31,156,181,42,67,81,85,4,16,6,Positive,Neutral,51,42,Yes,No,No,May Consider
592833568463,4787245059,235,QA Automation,0.93,0.07,110,56,108,51,161,536,68,5,20,62,3,3,4,Neutral,Positive,87,18,No,Yes,No,May Consider
841923292719,2976760790,255,QA Manual,0.52,0.48,85,85,116,59,282,374,20,38,68,63,12,8,4,Negative,Negative,69,38,No,No,Yes,May Consider
626676083505,7865539072,215,Developer,0.75,0.25,67,70,55,48,180,548,21,10,26,5,8,4,5,Positive,Negative,20,35,Yes,Yes,No,Not Consider
142756442761,2501356750,191,Data Scientist,0.61,0.39,60,115,90,54,284,317,18,68,70,82,10,8,6,Negative,Negative,94,22,No,Yes,No,Not Consider
184134481023,742881980.3,254,Developer,0.7,0.3,118,75,46,68,299,250,19,44,47,79,10,10,6,Positive,Negative,16,49,No,Yes,Yes,Not Consider
494017867682,3630566862,255,QA Manual,0.92,0.08,48,74,102,51,25,180,61,10,72,27,10,7,3,Negative,Negative,16,40,No,No,Yes,Consider
833917894645,5583433544,202,Developer,0.64,0.36,39,92,79,57,293,338,14,23,42,62,5,17,7,Negative,Negative,64,52,Yes,No,Yes,Not Consider
4928505599,6914330839,255,Program Manager,0.83,0.17,104,91,108,70,58,152,48,20,79,23,14,4,4,Neutral,Negative,66,49,Yes,Yes,No,Consider
340271150280,4865385141,247,Sales,0.97,0.03,86,74,118,59,211,23,32,39,45,55,3,5,2,Negative,Negative,99,17,Yes,Yes,No,May Consider
362760657095,7442351410,263,Data Scientist,0.51,0.49,113,105,69,51,57,237,14,11,56,72,12,17,2,Negative,Negative,53,22,No,Yes,No,Consider
85481494295,4164246869,229,Product Manager,0.92,0.08,79,107,74,27,140,435,50,56,27,37,5,17,5,Negative,Negative,30,19,Yes,Yes,No,May Consider
701871017167,7441437892,219,QA Automation,0.63,0.37,104,103,71,48,196,98,11,45,90,36,7,6,2,Neutral,Neutral,79,45,Yes,Yes,Yes,May Consider
353525406822,3427212576,226,QA Automation,0.67,0.33,51,112,61,55,187,266,43,21,75,84,2,8,4,Negative,Neutral,10,38,No,Yes,No,May Consider
130133935766,4780490379,204,Developer,0.94,0.06,35,94,104,53,203,248,40,26,83,23,9,16,6,Positive,Positive,8,36,Yes,No,Yes,May Consider
54013894131,6798827217,228,HR,0.82,0.18,69,42,76,35,123,383,69,32,49,10,4,7,2,Negative,Negative,68,44,No,Yes,Yes,May Consider
869025376191,2887858497,218,Program Manager,0.69,0.31,93,115,103,45,226,306,56,16,22,35,14,2,5,Neutral,Negative,44,40,No,Yes,No,Not Consider
793829569305,6115444974,235,Developer,0.95,0.05,91,103,91,22,174,250,66,29,58,32,7,14,7,Positive,Positive,93,59,Yes,No,Yes,May Consider
711551642603,5179998241,244,Program Manager,0.85,0.15,39,94,86,23,213,239,67,68,61,56,13,14,6,Positive,Positive,34,56,No,No,No,May Consider
474284770334,1688654151,224,Account Manager,0.85,0.15,35,57,106,65,285,142,38,67,81,19,11,20,7,Negative,Negative,70,32,Yes,No,Yes,Not Consider
212380702253,6777654367,201,Data Scientist,0.77,0.23,85,89,120,23,10,103,43,52,65,89,14,13,3,Negative,Positive,7,53,No,No,Yes,Consider
176335201050,4041681925,263,Product Manager,0.83,0.17,108,77,61,64,111,214,41,24,52,80,4,12,7,Negative,Negative,67,17,No,Yes,Yes,Consider
264298298217,3095082019,214,Data Scientist,0.64,0.36,26,114,45,49,125,3,23,68,49,45,15,19,7,Neutral,Negative,47,48,No,No,Yes,May Consider
70553793604,6974705240,242,Product Manager,0.84,0.16,67,83,45,51,134,177,35,51,45,61,3,11,5,Positive,Positive,73,16,No,Yes,No,May Consider
879986657267,2159118195,247,QA Automation,0.53,0.47,120,119,76,33,264,554,17,46,84,37,12,18,7,Negative,Positive,79,19,Yes,No,No,Not Consider
480526462926,373219812.9,242,QA Automation,0.57,0.43,95,54,77,51,113,395,45,48,80,46,12,20,4,Positive,Neutral,65,31,No,No,No,May Consider
561741203167,9359596011,191,QA Automation,0.5,0.5,45,52,47,34,125,510,62,7,57,82,14,2,4,Neutral,Negative,24,19,Yes,Yes,No,May Consider
269518599699,7227573428,217,Data Scientist,0.52,0.48,89,60,99,60,70,48,13,13,30,52,15,17,5,Negative,Positive,26,55,Yes,Yes,No,Consider
405858650311,7143202998,267,Program Manager,0.8,0.2,52,56,102,50,170,419,26,10,29,46,5,16,4,Neutral,Neutral,59,47,No,Yes,Yes,May Consider
95248932365,4622188181,214,Marketing,0.55,0.45,118,40,90,37,145,597,39,49,81,48,4,6,6,Neutral,Positive,68,20,Yes,No,No,May Consider
432931389666,1113275560,214,Product Manager,0.94,0.06,92,50,82,55,0,418,15,34,46,17,3,15,2,Negative,Neutral,36,36,No,Yes,No,Consider
174093786745,1231807499,248,Account Manager,0.77,0.23,24,48,60,57,40,47,47,57,88,49,10,2,5,Positive,Positive,41,58,No,No,No,Consider
768176271820,9543256080,264,QA Manual,0.79,0.21,96,47,86,26,158,283,10,47,30,32,14,13,6,Positive,Neutral,89,26,No,Yes,No,May Consider
354845888929,1912533961,267,Data Scientist,0.94,0.06,34,84,84,33,224,268,41,19,20,78,9,12,4,Positive,Positive,70,40,No,No,Yes,May Consider
503341268404,7687946253,248,Developer,0.94,0.06,55,93,114,56,106,599,58,67,30,85,15,15,2,Positive,Negative,63,53,No,Yes,No,Consider
67216102227,3111896780,221,Marketing,0.99,0.01,50,91,49,21,283,324,12,35,49,49,7,20,3,Neutral,Positive,99,16,No,Yes,Yes,Not Consider
967933119513,7001862072,234,Product Manager,0.96,0.04,105,79,102,69,185,349,58,68,28,23,11,16,4,Positive,Positive,97,45,Yes,Yes,No,May Consider
78664057956,5390439863,220,Data Scientist,0.63,0.37,41,84,88,40,89,47,67,36,53,20,10,10,3,Neutral,Positive,2,30,No,No,No,May Consider
914870659281,3746742731,232,Program Manager,0.77,0.23,117,62,46,67,13,60,39,44,23,37,11,20,2,Neutral,Positive,14,32,No,No,No,Consider
665067100780,2724280821,267,QA Manual,0.66,0.34,88,113,51,59,296,560,52,41,45,12,4,13,6,Neutral,Neutral,61,56,No,No,No,Not Consider
804704631441,1070674363,240,Marketing,0.99,0.01,83,56,66,69,81,23,27,21,72,34,15,3,2,Negative,Positive,21,21,No,No,No,May Consider
429510743193,3351967482,210,QA Manual,0.69,0.31,99,63,114,29,263,463,48,43,29,28,12,13,6,Negative,Neutral,8,22,Yes,Yes,No,Not Consider
51884641877,3830693396,266,QA Automation,0.68,0.32,38,45,75,49,249,88,69,68,25,76,13,2,2,Neutral,Positive,38,30,Yes,No,No,Not Consider
445549242090,6679213466,216,Account Manager,0.91,0.09,88,86,42,49,246,510,35,65,31,60,4,1,3,Positive,Positive,4,59,No,No,No,Not Consider
202957538477,9851697352,190,Developer,0.72,0.28,24,119,80,43,68,201,48,50,86,80,14,19,7,Negative,Neutral,48,27,No,No,No,Consider
966215314439,2632422556,216,Product Manager,0.56,0.44,103,92,100,45,279,97,52,52,56,23,4,8,7,Neutral,Negative,71,53,Yes,Yes,No,Not Consider
554930193482,4390856092,252,Product Manager,0.65,0.35,37,80,120,56,130,207,15,41,70,44,1,19,5,Negative,Neutral,41,24,Yes,No,No,Consider
640546980932,8358262600,221,Product Manager,0.71,0.29,20,75,93,58,125,338,24,67,90,64,2,15,5,Negative,Positive,22,53,Yes,No,No,Consider
525333322870,4013553032,219,QA Automation,0.65,0.35,74,90,98,26,78,476,12,61,43,13,1,12,7,Negative,Positive,53,27,Yes,No,Yes,Consider
981267733042,6335138564,267,Marketing,0.99,0.01,90,73,44,42,80,24,6,64,74,50,14,7,4,Neutral,Neutral,43,39,No,No,Yes,Consider
64910978717,370519807.4,238,HR,0.71,0.29,72,70,54,47,214,491,8,69,25,43,3,13,2,Neutral,Neutral,98,16,No,No,No,Not Consider
899449656711,3857688454,196,HR,0.85,0.15,39,57,120,55,166,133,32,33,32,57,12,1,6,Neutral,Negative,20,20,Yes,Yes,No,May Consider
798594970511,5263852191,265,Account Manager,0.83,0.17,25,64,110,36,39,182,30,10,53,63,8,7,7,Positive,Neutral,1,15,Yes,Yes,No,Consider
86577297685,7073078622,221,QA Automation,0.83,0.17,82,82,85,50,50,505,13,12,69,89,4,16,7,Neutral,Neutral,28,52,Yes,No,No,Consider
207882911968,3450815255,228,HR,0.59,0.41,94,68,89,49,274,400,37,25,52,15,5,17,7,Neutral,Negative,48,16,No,Yes,No,Not Consider
206608201007,914882634.7,228,Marketing,0.82,0.18,59,44,61,34,154,374,19,38,49,12,10,13,7,Positive,Positive,12,24,Yes,Yes,No,May Consider
673434819022,4688860481,234,Account Manager,0.8,0.2,21,41,63,55,114,379,42,8,62,86,11,7,7,Neutral,Positive,82,24,No,Yes,Yes,Consider
538715509017,6554861841,244,HR,0.94,0.06,25,48,47,47,62,457,56,69,46,90,4,2,5,Negative,Positive,40,23,No,Yes,No,Consider
304265414200,8184404100,210,HR,0.79,0.21,120,63,82,52,101,151,48,63,39,23,11,7,6,Positive,Positive,14,55,No,Yes,No,Consider
366843310427,9564518009,228,Sales,0.96,0.04,89,118,98,60,6,361,45,68,26,18,11,17,5,Negative,Negative,14,54,No,No,No,Consider
241098540984,764232885,221,QA Automation,0.71,0.29,119,88,43,38,95,40,16,12,89,5,15,18,3,Neutral,Positive,92,28,No,Yes,No,May Consider
979576155809,8567518885,198,QA Manual,0.56,0.44,44,48,45,61,84,368,31,70,47,39,13,16,5,Positive,Neutral,39,60,Yes,Yes,Yes,Consider
166146327736,415744529.3,254,Developer,0.54,0.46,22,43,99,44,289,569,63,11,51,64,2,18,4,Positive,Negative,71,26,Yes,Yes,No,Not Consider
260817646097,6522999616,244,QA Automation,0.67,0.33,65,90,58,67,28,215,27,29,76,9,11,6,3,Negative,Positive,54,46,No,Yes,No,Consider
537788750001,3295666743,237,HR,0.97,0.03,120,74,88,45,187,220,12,68,56,55,6,14,7,Neutral,Neutral,19,40,Yes,No,Yes,May Consider
109207694095,5191488995,239,Account Manager,0.67,0.33,120,98,58,42,16,424,37,60,21,65,6,10,2,Positive,Neutral,91,34,Yes,No,No,Consider
132491625583,9622762296,263,Sales,0.53,0.47,87,44,77,28,217,458,27,54,51,23,1,1,4,Negative,Positive,8,22,No,Yes,No,Not Consider
116030116768,114271509.3,206,Sales,0.73,0.27,45,114,65,34,127,260,46,49,66,90,11,3,4,Negative,Neutral,47,39,No,No,Yes,Consider
682068784042,65901311.91,242,Program Manager,0.79,0.21,75,71,67,48,217,221,5,58,29,72,3,19,3,Negative,Negative,46,25,No,No,No,May Consider
304641599721,5429071309,214,Program Manager,0.52,0.48,61,101,110,38,131,564,32,67,85,15,11,3,6,Neutral,Neutral,59,29,Yes,Yes,Yes,May Consider
184453044324,3113578143,201,QA Manual,0.52,0.48,112,95,113,69,125,194,26,36,76,37,7,9,5,Neutral,Negative,38,56,Yes,No,Yes,Consider
239385783692,8926977723,225,Developer,0.88,0.12,78,52,46,69,45,383,56,36,88,45,8,4,7,Negative,Positive,17,25,No,Yes,Yes,Consider
110995766674,7544569760,203,Sales,0.5,0.5,35,54,60,44,234,329,68,44,66,17,11,18,3,Negative,Neutral,44,36,Yes,No,Yes,Not Consider
351861808013,1335746344,252,Product Manager,0.5,0.5,92,71,79,50,265,496,62,42,49,44,4,17,6,Positive,Positive,79,52,Yes,Yes,Yes,Not Consider
581600383085,5373279822,231,QA Automation,0.91,0.09,77,85,117,22,52,404,53,47,86,40,14,6,4,Negative,Positive,44,34,No,Yes,Yes,Consider
13739870684,5332434199,231,Developer,0.8,0.2,101,41,66,47,34,583,7,65,68,12,8,9,7,Negative,Positive,34,58,No,Yes,No,Consider
307469300756,5659989345,261,Data Scientist,0.57,0.43,51,48,63,51,243,87,27,28,36,26,13,4,4,Positive,Negative,96,18,Yes,Yes,No,Not Consider
267630543720,9214486750,207,Account Manager,0.75,0.25,60,68,52,38,286,205,55,15,61,46,12,13,3,Positive,Positive,68,34,Yes,Yes,Yes,Not Consider
964787599351,279543442.4,237,Data Scientist,0.55,0.45,100,43,68,50,95,118,12,49,72,76,3,14,4,Neutral,Positive,95,28,No,No,No,Consider
473509949169,4494822251,201,Developer,0.71,0.29,107,88,67,50,23,276,60,27,76,48,6,19,3,Neutral,Neutral,69,56,Yes,No,Yes,Consider
744290316270,9337049924,191,QA Manual,0.94,0.06,57,114,67,70,277,78,48,9,24,66,7,6,2,Negative,Positive,58,26,Yes,Yes,Yes,Not Consider
653705341406,2466383272,194,QA Automation,0.56,0.44,52,96,114,37,31,192,10,31,22,13,13,14,2,Negative,Positive,2,40,No,No,Yes,Consider
282494694309,7392249378,249,QA Automation,0.5,0.5,41,67,91,68,127,496,37,60,75,76,7,1,4,Positive,Positive,63,20,No,Yes,No,Consider
443395686771,569462061.9,242,Account Manager,0.64,0.36,81,90,40,37,48,516,54,45,47,16,3,4,4,Negative,Positive,9,56,Yes,No,No,Consider
509682079821,6272945229,196,Developer,0.89,0.11,90,74,91,56,30,263,48,51,61,74,7,8,5,Positive,Neutral,87,28,No,No,Yes,Consider
148053587984,8286607149,209,HR,0.98,0.02,114,118,72,68,176,385,29,24,90,13,12,20,2,Negative,Neutral,23,18,No,No,Yes,Not Consider
214870417800,6071055182,190,Sales,0.84,0.16,77,62,48,64,294,177,45,39,86,77,14,17,7,Neutral,Negative,84,56,No,Yes,No,Not Consider
49440628656,4411983660,198,Product Manager,0.66,0.34,40,58,64,36,101,236,24,32,43,74,8,9,7,Neutral,Positive,54,36,No,Yes,Yes,Consider
224533682965,1252562079,216,Data Scientist,0.53,0.47,102,55,68,69,98,240,12,18,40,11,14,17,3,Neutral,Neutral,60,41,No,Yes,Yes,May Consider
315990342521,2552942258,260,Account Manager,0.99,0.01,90,48,94,43,40,360,12,23,48,70,2,6,7,Positive,Negative,49,45,No,Yes,No,Consider
993333112087,2786224667,266,Account Manager,0.61,0.39,98,43,105,70,260,539,8,11,35,13,5,12,3,Neutral,Positive,14,17,No,No,Yes,Not Consider
393116143249,1310663010,248,Sales,0.64,0.36,102,79,91,20,256,37,13,20,73,13,8,7,7,Neutral,Negative,29,36,No,Yes,No,Not Consider
413383492889,2197926484,219,Data Scientist,0.81,0.19,117,62,120,28,295,145,12,16,50,7,11,6,5,Neutral,Positive,45,39,No,Yes,No,Not Consider
758735513873,5974815171,193,QA Manual,0.85,0.15,45,66,46,41,166,380,37,38,87,53,2,1,6,Neutral,Negative,7,54,Yes,No,Yes,May Consider
643470625698,7661833893,231,Developer,0.92,0.08,30,92,42,31,93,374,56,27,24,78,3,5,3,Negative,Negative,1,28,Yes,Yes,Yes,May Consider
316802417737,3006142485,234,Program Manager,0.62,0.38,45,48,88,58,143,324,65,26,60,78,4,1,6,Neutral,Neutral,26,20,No,Yes,No,May Consider
449168426624,2101181032,255,QA Manual,0.91,0.09,95,49,59,31,233,497,17,14,57,80,9,4,3,Positive,Neutral,48,18,No,Yes,Yes,Not Consider
